tweet_id,retweet_count,favorite_count
892420643555336193,8315,38016
892177421306343426,6143,32642
891815181378084864,4067,24564
891689557279858688,8457,41369
891327558926688256,9158,39551
891087950875897856,3049,19860
890971913173991426,2019,11613
890729181411237888,18446,64152
890609185150312448,4183,27289
890240255349198849,7215,31306
890006608113172480,7173,30084
889880896479866881,4869,27281
889665388333682689,9829,47211
889638837579907072,4436,26641
889531135344209921,2199,14835
889278841981685760,5254,24773
888917238123831296,4402,28576
888804989199671297,4194,25085
888554962724278272,3472,19449
888078434458587136,3415,21347
887705289381826560,5275,29612
887517139158093824,11426,45399
887473957103951883,17777,67754
887343217045368832,10176,33067
887101392804085760,5837,30001
886983233522544640,7602,34495
886736880519319552,3211,11833
886680336477933568,4366,22012
886366144734445568,3131,20791
886267009285017600,4,116
886258384151887873,6148,27468
886054160059072513,105,0
885984800019947520,6635,32043
885528943205470208,6292,35315
885518971528720385,3679,20054
885311592912609280,18159,0
885167619883638784,4293,21518
884925521741709313,17856,76005
884876753390489601,5491,27405
884562892145688576,4593,23848
884441805382717440,5540,26492
884247878851493888,20071,71670
884162670584377345,2923,19969
883838122936631299,3376,21501
883482846933004288,9726,45072
883360690899218434,3625,22259
883117836046086144,6531,36474
882992080364220416,3842,23498
882762694511734784,4815,27768
882627270321602560,5958,27416
882268110199369728,11359,44118
882045870035918850,4866,28818
881906580714921986,3325,23861
881666595344535552,10451,49666
881633300179243008,7,124
881536004380872706,15623,48529
881268444196462592,5075,22667
880935762899988482,2731,16701
880872448815771648,3741,20879
880465832366813184,6148,28017
880221127280381952,4130,26559
880095782870896641,4267,27121
879862464715927552,3435,21920
879674319642796034,10,305
879492040517615616,3117,23002
879415818425184262,43422,103987
879376492567855104,3058,16472
879130579576475649,6698,0
879050749262655488,4630,22144
879008229531029506,2646,18645
878776093423087618,4050,19062
878604707211726852,7073,29728
878404777348136964,1267,0
878316110768087041,6528,0
878281511006478336,1267,7605
878057613040115712,6698,41300
877736472329191424,18745,78368
877611172832227328,79,0
877556246731214848,3741,22334
877316821321428993,5090,26915
877201837425926144,5482,26660
876838120628539392,3283,20337
876537666061221889,4562,23117
876484053909872640,2359,18449
876120275196170240,4611,27454
875747767867523072,4221,24782
875144289856114688,4852,21571
875097192612077568,5963,26973
875021211251597312,4647,25061
874680097055178752,4572,27372
874434818259525634,14504,0
874296783580663808,4045,25633
874057562936811520,3905,22305
874012996292530176,10262,34033
873580283840344065,3891,23844
873337748698140672,1564,0
873213775632977920,1564,7133
872967104147763200,5348,26961
872820683541237760,3655,14508
872620804844003328,3651,20513
872486979161796608,8928,40116
872261713294495745,6250,33750
872122724285648897,8047,33964
871879754684805121,11056,37469
871762521631449091,3448,20015
871515927908634625,3428,19960
871166179821445120,5663,0
871102520638267392,5464,20681
871032628920680449,3788,22410
870804317367881728,6163,33259
870726314365509632,3,119
870656317836468226,2628,12280
870374049280663552,26077,81901
870308999962521604,4139,21623
870063196459192321,8321,36315
869772420881756160,9998,42035
869702957897576449,6330,27985
869596645499047938,3126,15838
869227993411051520,3776,20287
868880397819494401,14461,65141
868639477480148993,2097,0
868622495443632128,5292,26567
868552278524837888,2097,10060
867900495410671616,4181,24064
867774946302451713,7346,33808
867421006826221569,2509,16037
867072653475098625,121,0
867051520902168576,7889,32106
866720684873056260,4826,20011
866686824827068416,3492,19263
866450705531457537,35431,121901
866334964761202691,14504,52415
866094527597207552,8416,0
865718153858494464,5648,25587
865359393868664832,5032,26446
865006731092295680,7730,27974
864873206498414592,8757,32256
864279568663928832,3058,14626
864197398364647424,9011,30168
863907417377173506,4179,20633
863553081350529029,4220,15323
863471782782697472,2476,0
863432100342583297,5312,23856
863427515083354112,97,2269
863079547188785154,1114,8783
863062471531167744,2476,8548
862831371563274240,5151,19211
862722525377298433,3566,17112
862457590147678208,5013,20607
862096992088072192,23577,74794
861383897657036800,10850,36217
861288531465048066,4210,17272
861005113778896900,3847,16785
860981674716409858,2186,0
860924035999428608,835,0
860563773140209665,2186,7552
860524505164394496,5364,23762
860276583193509888,3530,18407
860184849394610176,5941,16783
860177593139703809,31399,0
859924526012018688,4165,19688
859851578198683649,3571,15511
859607811541651456,1603,18727
859196978902773760,30769,90660
859074603037188101,13882,34139
858860390427611136,8320,0
858843525470990336,3549,15664
858471635011153920,4949,21701
858107933456039936,2978,15878
857989990357356544,2643,16291
857746408056729600,10878,34630
857393404942143489,1688,5980
857263160327368704,4626,20231
857214891891077121,18,230
857062103051644929,177,0
857029823797047296,4114,19159
856602993587888130,10970,0
856543823941562368,2957,16473
856526610513747968,1935,12002
856330835276025856,699,0
856288084350160898,17,526
856282028240666624,6503,28113
855862651834028034,28,351
855860136149123072,1059,5115
855857698524602368,2175,12022
855851453814013952,18247,46134
855818117272018944,5594,27026
855459453768019968,8468,30423
855245323840757760,6181,0
855138241867124737,47,0
854732716440526848,6321,23255
854482394044301312,7108,29864
854365224396361728,4860,19265
854120357044912130,7761,32615
854010172552949760,3273,16530
853760880890318849,6016,29198
853639147608842240,10555,35622
853299958564483072,3721,15887
852936405516943360,2091,0
852912242202992640,1915,9282
852672615818899456,2250,15285
852553447878664193,3667,16774
852311364735569921,10312,33958
852226086759018497,7101,20525
852189679701164033,1662,11769
851953902622658560,10067,0
851861385021730816,23,0
851591660324737024,3628,16649
851464819735769094,7416,24950
851224888060895234,5988,21274
850753642995093505,9717,31913
850380195714523136,2743,13445
850333567704068097,350,3538
850145622816686080,4021,16825
850019790995546112,5141,21081
849776966551130114,7982,31427
849668094696017920,5211,0
849412302885593088,3305,16390
849336543269576704,1989,11793
849051919805034497,8963,43846
848690551926992896,4545,26041
848324959059550208,4838,25580
848213670039564288,785,8456
848212111729840128,3239,16889
847978865427394560,3440,0
847971574464610304,449,0
847962785489326080,5386,24338
847842811428974592,1417,5668
847617282490613760,447,7258
847606175596138505,3583,19438
847251039262605312,4538,21189
847157206088847362,6185,20674
847116187444137987,3378,22199
846874817362120707,4151,20813
846514051647705089,12269,46315
846505985330044928,3263,14637
846153765933735936,9599,32887
846139713627017216,10458,32056
846042936437604353,3066,16602
845812042753855489,9260,30428
845677943972139009,5067,26081
845397057150107648,1915,7927
845306882940190720,5714,24230
845098359547420673,8117,0
844979544864018432,2739,14161
844973813909606400,3412,15707
844704788403113984,10970,40271
844580511645339650,3331,17147
844223788422217728,2335,14186
843981021012017153,3110,15750
843856843873095681,4919,22290
843604394117681152,2930,17587
843235543001513987,6429,22398
842846295480000512,3825,15859
842765311967449089,1356,7025
842535590457499648,3732,18861
842163532590374912,6181,25505
842115215311396866,3228,14599
841833993020538882,16324,0
841680585030541313,8262,26744
841439858740625411,3919,13170
841320156043304961,5797,20632
841314665196081154,5001,16525
841077006473256960,5663,23880
840761248237133825,1872,0
840728873075638272,17255,0
840698636975636481,2,185
840696689258311684,1043,12836
840632337062862849,1872,9371
840370681858686976,4855,17197
840268004936019968,6124,20142
839990271299457024,2452,14030
839549326359670784,8320,28779
839290600511926273,154,0
839239871831150596,6990,28455
838952994649550848,4251,20515
838921590096166913,2222,11692
838916489579200512,36,0
838831947270979586,11816,0
838561493054533637,1418,11426
838476387338051585,5149,23637
838201503651401729,10794,0
838150277551247360,354,1760
838085839343206401,0,147
838083903487373313,3376,18460
837820167694528512,8416,35823
837482249356513284,471,4018
837471256429613056,2456,13398
837366284874571778,5674,22148
837110210464448512,2560,16790
836989968035819520,2466,13342
836753516572119041,4948,20154
